InstanceName,State,RootDeviceName,VolumeId,BackupInitiated,StartTime,SnapshotId
i-0b56982f77ed3a834,stopped,/dev/xvda,vol-081be19c804b68dd8,Yes,2023-07-31 15:30:41 UTC,snap-046c9ef212325aaf7
i-0ddb31abeafa6ef74,stopped,/dev/xvda,vol-0ad6c9a7d5233bbd5,Yes,2023-07-31 15:30:41 UTC,snap-00ac0b84b858651b7
